Champion,Game,Win rate
Lee Sin,75,60%
Wukong,62,79%
Vi,43,55.8%
Nocturne,35,82.9%
Graves,34,29.4%
Sejuani,32,50%
Gragas,28,82.1%
Karthus,24,75%
Shyvana,22,81.8%
Lillia,22,45.5%
Maokai,20,75%
Viego,20,70%
Kindred,17,64.7%
Hecarim,16,87.5%
Jarvan IV,16,56.3%
KhaZix,15,53.3%
Elise,14,71.4%
Rell,12,91.7%
Nidalee,12,75%
Xin Zhao,11,54.5%
RekSai,10,90%
Zac,8,87.5%
Trundle,8,37.5%
Diana,7,57.1%
Ivern,7,71.4%
Udyr,7,71.4%
Zyra,7,57.1%
Pantheon,7,42.9%
Qiyana,7,100%
Sylas,7,71.4%
Kayn,7,42.9%
Skarner,7,57.1%
Brand,6,83.3%
Zed,6,66.7%
Talon,5,80%
Olaf,5,40%
Taliyah,4,100%
Jax,4,50%
Fiddlesticks,3,33.3%
Naafiri,3,100%
Gwen,3,66.7%
Volibear,2,50%
Camille,2,0%
Poppy,2,0%
Ekko,2,50%
Dr. Mundo,2,100%
Rumble,1,0%
Master Yi,1,0%
Evelynn,1,0%
Kaisa,1,0%
Chogath,1,0%
Rengar,1,0%
