Champion,Game,WinRate
Ashe,15,0.6
Ezreal,14,0.429
Varus,14,0.5
Miss Fortune,13,0.615
Zeri,12,0.25
Kaisa,9,0.444
Lucian,8,0.625
Jhin,7,0.429
Rakan,7,0.7140000000000001
Belveth,6,1.0
Nilah,5,0.8
Senna,5,0.6
Yasuo,4,0.5
Corki,4,0.25
Heimerdinger,4,0.25
Alistar,3,0.33299999999999996
Xayah,3,0.667
Kalista,3,0.33299999999999996
Smolder,2,0.5
Ziggs,2,0.5
Aphelios,2,0.5
Caitlyn,1,0.0
Tristana,1,0.0
Ornn,1,1.0
Udyr,1,0.0
Rell,1,0.0
Sion,1,0.0
Jinx,1,0.0
Blitzcrank,1,1.0
Zac,1,0.0
Nautilus,1,0.0
Karma,1,1.0
